,PLAYER_URL,NAME,DATE_OF_BIRTH,CITIZENSHIP,CURRENT_CLUB,OUTFITTER,MV
0,https://www.transfermarkt.com/gianluigi-donnarumma/profil/spieler/315858,Gianluigi Donnarumma,"Feb 25, 1999 (26)",['Italy'],Paris Saint-Germain,adidas,35.00m
1,https://www.transfermarkt.com/matvey-safonov/profil/spieler/318470,Matvey Safonov,"Feb 25, 1999 (26)",['Russia'],Paris Saint-Germain,Puma,22.00m
2,https://www.transfermarkt.com/arnau-tenas/profil/spieler/466783,Arnau Tenas,"May 30, 2001 (23)",['Spain'],Paris Saint-Germain,,4.00m
3,https://www.transfermarkt.com/willian-pacho/profil/spieler/661171,Willian Pacho,"Oct 16, 2001 (23)",['Ecuador'],Paris Saint-Germain,Nike,45.00m
4,https://www.transfermarkt.com/marquinhos/profil/spieler/181767,Marquinhos,"May 14, 1994 (30)","['Brazil', 'Portugal']",Paris Saint-Germain,Nike,40.00m
5,https://www.transfermarkt.com/lucas-beraldo/profil/spieler/872171,Lucas Beraldo,"Nov 24, 2003 (21)",['Brazil'],Paris Saint-Germain,Nike,25.00m
6,https://www.transfermarkt.com/presnel-kimpembe/profil/spieler/282041,Presnel Kimpembe,"Aug 13, 1995 (29)","['France', 'DR Congo']",Paris Saint-Germain,Nike,8.00m
7,https://www.transfermarkt.com/naoufel-el-hannach/profil/spieler/1053148,Naoufel El Hannach,"Dec 7, 2006 (18)","['Morocco', 'France']",Paris Saint-Germain Espoirs,,
8,https://www.transfermarkt.com/nuno-mendes/profil/spieler/616341,Nuno Mendes,"Jun 19, 2002 (22)",['Portugal'],Paris Saint-Germain,adidas,55.00m
9,https://www.transfermarkt.com/lucas-hernandez/profil/spieler/281963,Lucas Hernández,"Feb 14, 1996 (29)","['France', 'Spain']",Paris Saint-Germain,Nike,30.00m
10,https://www.transfermarkt.com/achraf-hakimi/profil/spieler/398073,Achraf Hakimi,"Nov 4, 1998 (26)","['Morocco', 'Spain']",Paris Saint-Germain,Under Armour,65.00m
11,https://www.transfermarkt.com/yoram-zague/profil/spieler/1047097,Yoram Zague,"May 15, 2006 (18)","['France', ""Cote d'Ivoire""]",Paris Saint-Germain,,2.50m
12,https://www.transfermarkt.com/joao-neves/profil/spieler/670681,João Neves,"Sep 27, 2004 (20)",['Portugal'],Paris Saint-Germain,,65.00m
13,https://www.transfermarkt.com/vitinha/profil/spieler/487469,Vitinha,"Feb 13, 2000 (25)",['Portugal'],Paris Saint-Germain,Nike,60.00m
14,https://www.transfermarkt.com/warren-zaire-emery/profil/spieler/810092,Warren Zaïre-Emery,"Mar 8, 2006 (19)","['France', 'Martinique']",Paris Saint-Germain,Nike,60.00m
15,https://www.transfermarkt.com/fabian-ruiz/profil/spieler/350219,Fabián Ruiz,"Apr 3, 1996 (29)",['Spain'],Paris Saint-Germain,adidas,35.00m
16,https://www.transfermarkt.com/senny-mayulu/profil/spieler/903693,Senny Mayulu,"May 17, 2006 (18)","['France', 'DR Congo']",Paris Saint-Germain,Nike,10.00m
17,https://www.transfermarkt.com/khvicha-kvaratskhelia/profil/spieler/502670,Khvicha Kvaratskhelia,"Feb 12, 2001 (24)",['Georgia'],Paris Saint-Germain,adidas,80.00m
18,https://www.transfermarkt.com/bradley-barcola/profil/spieler/708265,Bradley Barcola,"Sep 2, 2002 (22)","['France', 'Togo']",Paris Saint-Germain,adidas,70.00m
19,https://www.transfermarkt.com/desire-doue/profil/spieler/914562,Désiré Doué,"Jun 3, 2005 (19)","['France', ""Cote d'Ivoire""]",Paris Saint-Germain,,60.00m
20,https://www.transfermarkt.com/ousmane-dembele/profil/spieler/288230,Ousmane Dembélé,"May 15, 1997 (27)",['France'],Paris Saint-Germain,adidas,75.00m
21,https://www.transfermarkt.com/kang-in-lee/profil/spieler/557149,Kang-in Lee,"Feb 19, 2001 (24)","['Korea, South']",Paris Saint-Germain,adidas,30.00m
22,https://www.transfermarkt.com/ibrahim-mbaye/profil/spieler/1185888,Ibrahim Mbaye,"Jan 24, 2008 (17)","['France', 'Senegal']",Paris Saint-Germain Espoirs,,2.00m
23,https://www.transfermarkt.com/goncalo-ramos/profil/spieler/550550,Gonçalo Ramos,"Jun 20, 2001 (23)",['Portugal'],Paris Saint-Germain,Nike,45.00m
