,URL
0,https://www.transfermarkt.com/geronimo-rulli/profil/spieler/229604
1,https://www.transfermarkt.com/jeffrey-de-lange/profil/spieler/315253
2,https://www.transfermarkt.com/ruben-blanco/profil/spieler/199321
3,https://www.transfermarkt.com/jelle-van-neck/profil/spieler/727086
4,https://www.transfermarkt.com/leonardo-balerdi/profil/spieler/575998
5,https://www.transfermarkt.com/luiz-felipe/profil/spieler/457931
6,https://www.transfermarkt.com/derek-cornelius/profil/spieler/328609
7,https://www.transfermarkt.com/chancel-mbemba/profil/spieler/203348
8,https://www.transfermarkt.com/quentin-merlin/profil/spieler/557613
9,https://www.transfermarkt.com/ulisses-garcia/profil/spieler/192616
10,https://www.transfermarkt.com/amar-dedic/profil/spieler/519184
11,https://www.transfermarkt.com/amir-murillo/profil/spieler/354482
12,https://www.transfermarkt.com/pol-lirola/profil/spieler/298975
13,https://www.transfermarkt.com/pierre-emile-hojbjerg/profil/spieler/167799
14,https://www.transfermarkt.com/ismael-bennacer/profil/spieler/351816
15,https://www.transfermarkt.com/geoffrey-kondogbia/profil/spieler/127189
16,https://www.transfermarkt.com/adrien-rabiot/profil/spieler/182913
17,https://www.transfermarkt.com/valentin-rongier/profil/spieler/332889
18,https://www.transfermarkt.com/bilal-nadir/profil/spieler/659520
19,https://www.transfermarkt.com/amine-harit/profil/spieler/372711
20,https://www.transfermarkt.com/darryl-bakola/profil/spieler/1170286
21,https://www.transfermarkt.com/luis-henrique/profil/spieler/691316
22,https://www.transfermarkt.com/jonathan-rowe/profil/spieler/672381
23,https://www.transfermarkt.com/mason-greenwood/profil/spieler/532826
24,https://www.transfermarkt.com/amine-gouiri/profil/spieler/418659
25,https://www.transfermarkt.com/neal-maupay/profil/spieler/217115
26,https://www.transfermarkt.com/faris-moumbagna/profil/spieler/599663
