,URL
0,https://www.transfermarkt.com/gianluigi-donnarumma/profil/spieler/315858
1,https://www.transfermarkt.com/matvey-safonov/profil/spieler/318470
2,https://www.transfermarkt.com/arnau-tenas/profil/spieler/466783
3,https://www.transfermarkt.com/willian-pacho/profil/spieler/661171
4,https://www.transfermarkt.com/marquinhos/profil/spieler/181767
5,https://www.transfermarkt.com/lucas-beraldo/profil/spieler/872171
6,https://www.transfermarkt.com/presnel-kimpembe/profil/spieler/282041
7,https://www.transfermarkt.com/naoufel-el-hannach/profil/spieler/1053148
8,https://www.transfermarkt.com/nuno-mendes/profil/spieler/616341
9,https://www.transfermarkt.com/lucas-hernandez/profil/spieler/281963
10,https://www.transfermarkt.com/achraf-hakimi/profil/spieler/398073
11,https://www.transfermarkt.com/yoram-zague/profil/spieler/1047097
12,https://www.transfermarkt.com/joao-neves/profil/spieler/670681
13,https://www.transfermarkt.com/vitinha/profil/spieler/487469
14,https://www.transfermarkt.com/warren-zaire-emery/profil/spieler/810092
15,https://www.transfermarkt.com/fabian-ruiz/profil/spieler/350219
16,https://www.transfermarkt.com/senny-mayulu/profil/spieler/903693
17,https://www.transfermarkt.com/khvicha-kvaratskhelia/profil/spieler/502670
18,https://www.transfermarkt.com/bradley-barcola/profil/spieler/708265
19,https://www.transfermarkt.com/desire-doue/profil/spieler/914562
20,https://www.transfermarkt.com/ousmane-dembele/profil/spieler/288230
21,https://www.transfermarkt.com/kang-in-lee/profil/spieler/557149
22,https://www.transfermarkt.com/ibrahim-mbaye/profil/spieler/1185888
23,https://www.transfermarkt.com/goncalo-ramos/profil/spieler/550550
