,URL
0,https://www.transfermarkt.com/djordje-petrovic/profil/spieler/465555
1,https://www.transfermarkt.com/alaa-bellaarouch/profil/spieler/667991
2,https://www.transfermarkt.com/karl-johan-johnsson/profil/spieler/112822
3,https://www.transfermarkt.com/mamadou-sarr/profil/spieler/910905
4,https://www.transfermarkt.com/ismael-doukoure/profil/spieler/786436
5,https://www.transfermarkt.com/abakar-sylla/profil/spieler/962555
6,https://www.transfermarkt.com/andrew-omobamidele/profil/spieler/621993
7,https://www.transfermarkt.com/yoni-gomis/profil/spieler/988272
8,https://www.transfermarkt.com/valentin-barco/profil/spieler/849410
9,https://www.transfermarkt.com/eduard-sobol/profil/spieler/206717
10,https://www.transfermarkt.com/thomas-delaine/profil/spieler/170961
11,https://www.transfermarkt.com/guela-doue/profil/spieler/711980
12,https://www.transfermarkt.com/pape-diong/profil/spieler/1183575
13,https://www.transfermarkt.com/andrey-santos/profil/spieler/743600
14,https://www.transfermarkt.com/habib-diarra/profil/spieler/876631
15,https://www.transfermarkt.com/sebastian-nanasi/profil/spieler/579928
16,https://www.transfermarkt.com/felix-lemarechal/profil/spieler/659518
17,https://www.transfermarkt.com/tidiane-diallo/profil/spieler/1047100
18,https://www.transfermarkt.com/diego-moreira/profil/spieler/655006
19,https://www.transfermarkt.com/oscar-perea/profil/spieler/1015624
20,https://www.transfermarkt.com/dilane-bakwa/profil/spieler/540664
21,https://www.transfermarkt.com/samuel-amo-ameyaw/profil/spieler/933900
22,https://www.transfermarkt.com/abdoul-ouattara/profil/spieler/991487
23,https://www.transfermarkt.com/emanuel-emegha/profil/spieler/559328
24,https://www.transfermarkt.com/sekou-mara/profil/spieler/557612
25,https://www.transfermarkt.com/moise-sahi-dion/profil/spieler/880330
