,PLAYER_URL,NAME,SEASON,COMPETITION,CLUB,CALLED_UP,APPEARENCES,POINTS_PER_MATCH,GOALS,ASSISTS,OWN_GOALS,SUBBED_ON,SUBBED_OFF,YELLOW_CARDS,SECOND_YELLOW_CARDS,RED_CARDS,PENALTY_GOALS,MINUTES_PER_GOAL,MINUTES_PLAYED
0,https://www.transfermarkt.com/willian-pacho/profil/spieler/661171,willian-pacho,24/25,Ligue 1,Paris Saint-Germain,27,25,2.60,-,1,-,4,3,2,-,-,-,,1.922
1,https://www.transfermarkt.com/marquinhos/profil/spieler/181767,marquinhos,24/25,Ligue 1,Paris Saint-Germain,23,19,2.58,1,-,-,3,1,3,-,-,-,1.492,1.492
2,https://www.transfermarkt.com/lucas-beraldo/profil/spieler/872171,lucas-beraldo,24/25,Ligue 1,Paris Saint-Germain,27,19,2.79,1,-,-,1,3,5,-,-,-,1.614,1.614
3,https://www.transfermarkt.com/presnel-kimpembe/profil/spieler/282041,presnel-kimpembe,24/25,Ligue 1,Paris Saint-Germain,11,1,3.00,-,-,-,1,-,-,-,-,-,,12
4,https://www.transfermarkt.com/naoufel-el-hannach/profil/spieler/1053148,naoufel-el-hannach,24/25,Ligue 1,Paris Saint-Germain,3,-,-,-,-,-,-,-,-,-,-,-,,
5,https://www.transfermarkt.com/nuno-mendes/profil/spieler/616341,nuno-mendes,24/25,Ligue 1,Paris Saint-Germain,23,20,2.50,1,2,-,4,4,2,-,-,-,1.405,1.405
6,https://www.transfermarkt.com/lucas-hernandez/profil/spieler/281963,lucas-hernandez,24/25,Ligue 1,Paris Saint-Germain,14,13,2.85,-,-,-,6,4,2,-,-,-,,650
7,https://www.transfermarkt.com/achraf-hakimi/profil/spieler/398073,achraf-hakimi,24/25,Ligue 1,Paris Saint-Germain,24,22,2.73,4,6,-,1,3,4,-,-,-,457,1.827
8,https://www.transfermarkt.com/yoram-zague/profil/spieler/1047097,yoram-zague,24/25,Ligue 1,Paris Saint-Germain,21,3,3.00,-,-,-,1,2,-,-,-,-,,161
9,https://www.transfermarkt.com/joao-neves/profil/spieler/670681,joao-neves,24/25,Ligue 1,Paris Saint-Germain,27,24,2.75,3,8,-,6,8,-,-,-,-,521,1.563
10,https://www.transfermarkt.com/vitinha/profil/spieler/487469,vitinha,24/25,Ligue 1,Paris Saint-Germain,26,25,2.60,4,1,-,8,1,1,-,-,2,434,1.736
11,https://www.transfermarkt.com/warren-zaire-emery/profil/spieler/810092,warren-zaire-emery,24/25,Ligue 1,Paris Saint-Germain,23,23,2.57,1,1,-,4,7,2,-,-,-,1.659,1.659
12,https://www.transfermarkt.com/fabian-ruiz/profil/spieler/350219,fabian-ruiz,24/25,Ligue 1,Paris Saint-Germain,27,26,2.62,3,4,-,8,6,1,-,-,-,555,1.666
13,https://www.transfermarkt.com/senny-mayulu/profil/spieler/903693,senny-mayulu,24/25,Ligue 1,Paris Saint-Germain,23,14,2.71,1,-,-,9,4,2,-,-,-,469,469
14,https://www.transfermarkt.com/khvicha-kvaratskhelia/profil/spieler/502670,khvicha-kvaratskhelia,24/25,Ligue 1,Paris Saint-Germain,10,10,2.80,2,3,-,2,6,-,-,-,-,326,652
15,https://www.transfermarkt.com/bradley-barcola/profil/spieler/708265,bradley-barcola,24/25,Ligue 1,Paris Saint-Germain,28,28,2.64,13,10,-,5,17,2,-,-,-,142,1.843
16,https://www.transfermarkt.com/desire-doue/profil/spieler/914562,desire-doue,24/25,Ligue 1,Paris Saint-Germain,26,25,2.68,5,6,-,10,10,1,-,-,-,286,1.430
17,https://www.transfermarkt.com/ousmane-dembele/profil/spieler/288230,ousmane-dembele,24/25,Ligue 1,Paris Saint-Germain,27,26,2.62,21,5,-,9,12,1,-,-,1,73,1.531
18,https://www.transfermarkt.com/kang-in-lee/profil/spieler/557149,kang-in-lee,24/25,Ligue 1,Paris Saint-Germain,26,26,2.62,6,5,-,11,12,1,-,-,-,233,1.396
19,https://www.transfermarkt.com/ibrahim-mbaye/profil/spieler/1185888,ibrahim-mbaye,24/25,Ligue 1,Paris Saint-Germain,12,6,3.00,1,-,-,5,1,-,-,-,-,95,95
20,https://www.transfermarkt.com/goncalo-ramos/profil/spieler/550550,goncalo-ramos,24/25,Ligue 1,Paris Saint-Germain,16,16,2.63,6,2,-,7,7,-,-,-,1,121,728
