,PLAYER_URL,NAME,DATE_OF_BIRTH,OUTFITTER
0,https://www.transfermarkt.com/lucas-perri/profil/spieler/352041,Lucas Perri,"Dec 10, 1997 (27)",adidas
1,https://www.transfermarkt.com/remy-descamps/profil/spieler/282028,Rémy Descamps,"Jun 25, 1996 (28)",
2,https://www.transfermarkt.com/lassine-diarra/profil/spieler/1071430,Lassine Diarra,"Nov 11, 2002 (22)",
3,https://www.transfermarkt.com/moussa-niakhate/profil/spieler/291200,Moussa Niakhaté,"Mar 8, 1996 (29)",
4,https://www.transfermarkt.com/duje-caleta-car/profil/spieler/238266,Duje Caleta-Car,"Sep 17, 1996 (28)",
5,https://www.transfermarkt.com/warmed-omari/profil/spieler/711996,Warmed Omari,"Apr 23, 2000 (24)",Puma
6,https://www.transfermarkt.com/abner/profil/spieler/646402,Abner,"May 27, 2000 (24)",
7,https://www.transfermarkt.com/nicolas-tagliafico/profil/spieler/131225,Nicolás Tagliafico,"Aug 31, 1992 (32)",Nike
8,https://www.transfermarkt.com/ainsley-maitland-niles/profil/spieler/285845,Ainsley Maitland-Niles,"Aug 29, 1997 (27)",Nike
9,https://www.transfermarkt.com/sael-kumbedi/profil/spieler/951579,Saël Kumbedi,"Mar 26, 2005 (20)",
10,https://www.transfermarkt.com/clinton-mata/profil/spieler/187718,Clinton Mata,"Nov 7, 1992 (32)",
11,https://www.transfermarkt.com/tanner-tessmann/profil/spieler/670096,Tanner Tessmann,"Sep 24, 2001 (23)",
12,https://www.transfermarkt.com/nemanja-matic/profil/spieler/74683,Nemanja Matic,"Aug 1, 1988 (36)",Puma
13,https://www.transfermarkt.com/paul-akouokou/profil/spieler/429901,Paul Akouokou,"Dec 20, 1997 (27)",
14,https://www.transfermarkt.com/corentin-tolisso/profil/spieler/190393,Corentin Tolisso,"Aug 3, 1994 (30)",
15,https://www.transfermarkt.com/jordan-veretout/profil/spieler/164771,Jordan Veretout,"Mar 1, 1993 (32)",adidas
16,https://www.transfermarkt.com/thiago-almada/profil/spieler/576028,Thiago Almada,"Apr 26, 2001 (23)",adidas
17,https://www.transfermarkt.com/malick-fofana/profil/spieler/743386,Malick Fofana,"Mar 31, 2005 (20)",
18,https://www.transfermarkt.com/rayan-cherki/profil/spieler/607223,Rayan Cherki,"Aug 17, 2003 (21)",adidas
19,https://www.transfermarkt.com/ernest-nuamah/profil/spieler/955070,Ernest Nuamah,"Nov 1, 2003 (21)",Nike
20,https://www.transfermarkt.com/georges-mikautadze/profil/spieler/729814,Georges Mikautadze,"Oct 31, 2000 (24)",
21,https://www.transfermarkt.com/alexandre-lacazette/profil/spieler/93720,Alexandre Lacazette,"May 28, 1991 (33)",Puma
22,https://www.transfermarkt.com/enzo-molebe/profil/spieler/1106860,Enzo Molebe,"Sep 18, 2007 (17)",Nike
