,URL
0,https://www.transfermarkt.com/lucas-perri/profil/spieler/352041
1,https://www.transfermarkt.com/remy-descamps/profil/spieler/282028
2,https://www.transfermarkt.com/lassine-diarra/profil/spieler/1071430
3,https://www.transfermarkt.com/moussa-niakhate/profil/spieler/291200
4,https://www.transfermarkt.com/duje-caleta-car/profil/spieler/238266
5,https://www.transfermarkt.com/warmed-omari/profil/spieler/711996
6,https://www.transfermarkt.com/abner/profil/spieler/646402
7,https://www.transfermarkt.com/nicolas-tagliafico/profil/spieler/131225
8,https://www.transfermarkt.com/ainsley-maitland-niles/profil/spieler/285845
9,https://www.transfermarkt.com/sael-kumbedi/profil/spieler/951579
10,https://www.transfermarkt.com/clinton-mata/profil/spieler/187718
11,https://www.transfermarkt.com/tanner-tessmann/profil/spieler/670096
12,https://www.transfermarkt.com/nemanja-matic/profil/spieler/74683
13,https://www.transfermarkt.com/paul-akouokou/profil/spieler/429901
14,https://www.transfermarkt.com/corentin-tolisso/profil/spieler/190393
15,https://www.transfermarkt.com/jordan-veretout/profil/spieler/164771
16,https://www.transfermarkt.com/thiago-almada/profil/spieler/576028
17,https://www.transfermarkt.com/malick-fofana/profil/spieler/743386
18,https://www.transfermarkt.com/rayan-cherki/profil/spieler/607223
19,https://www.transfermarkt.com/ernest-nuamah/profil/spieler/955070
20,https://www.transfermarkt.com/georges-mikautadze/profil/spieler/729814
21,https://www.transfermarkt.com/alexandre-lacazette/profil/spieler/93720
22,https://www.transfermarkt.com/enzo-molebe/profil/spieler/1106860
