,Player_URL,Name,Season,Competition,Club,Called_Up,Appearances,Points_Per_Match,Goals,Assists,Own_Goals,Subbed_On,Subbed_Off,Yellow_Cards,Second_Yellow_Cards,Red_Cards,Penalty_Goals,Minutes_Per_Goal,Minutes_Played
0,https://www.transfermarkt.com/moussa-niakhate/profil/spieler/291200,moussa-niakhate,24/25,Ligue 1,Olympique Lyon,27,25,1.68,-,-,-,1,-,-,-,-,-,,2.185
1,https://www.transfermarkt.com/duje-caleta-car/profil/spieler/238266,duje-caleta-car,24/25,Ligue 1,Olympique Lyon,25,15,1.60,1,-,-,1,2,7,-,-,-,1.248,1.248
2,https://www.transfermarkt.com/warmed-omari/profil/spieler/711996,warmed-omari,24/25,Ligue 1,Olympique Lyon,20,1,3.00,-,-,-,1,-,-,-,-,-,,7
3,https://www.transfermarkt.com/warmed-omari/profil/spieler/711996,warmed-omari,24/25,Ligue 1,Stade Rennais FC,2,-,-,-,-,-,-,-,-,-,-,-,,
4,https://www.transfermarkt.com/abner/profil/spieler/646402,abner,24/25,Ligue 1,Olympique Lyon,26,15,1.73,1,1,-,5,6,1,-,-,-,906,906
5,https://www.transfermarkt.com/nicolas-tagliafico/profil/spieler/131225,nicolas-tagliafico,24/25,Ligue 1,Olympique Lyon,21,19,1.63,3,3,-,1,4,6,-,-,-,514,1.543
6,https://www.transfermarkt.com/ainsley-maitland-niles/profil/spieler/285845,ainsley-maitland-niles,24/25,Ligue 1,Olympique Lyon,28,26,1.73,1,3,-,10,1,1,-,-,-,1.567,1.567
7,https://www.transfermarkt.com/sael-kumbedi/profil/spieler/951579,sael-kumbedi,24/25,Ligue 1,Olympique Lyon,20,11,1.91,-,-,-,1,7,2,-,-,-,,799
8,https://www.transfermarkt.com/clinton-mata/profil/spieler/187718,clinton-mata,24/25,Ligue 1,Olympique Lyon,26,25,1.72,-,3,-,1,1,4,-,-,-,,2.167
9,https://www.transfermarkt.com/tanner-tessmann/profil/spieler/670096,tanner-tessmann,24/25,Ligue 1,Olympique Lyon,26,19,2.05,-,-,-,9,5,3,-,-,-,,949
10,https://www.transfermarkt.com/nemanja-matic/profil/spieler/74683,nemanja-matic,24/25,Ligue 1,Olympique Lyon,25,24,1.63,-,1,-,3,16,1,-,-,-,,1.706
11,https://www.transfermarkt.com/paul-akouokou/profil/spieler/429901,paul-akouokou,24/25,Ligue 1,Olympique Lyon,6,1,3.00,-,-,-,1,-,-,-,-,-,,1
12,https://www.transfermarkt.com/corentin-tolisso/profil/spieler/190393,corentin-tolisso,24/25,Ligue 1,Olympique Lyon,28,27,1.74,6,4,-,4,6,4,-,-,-,342,2.049
13,https://www.transfermarkt.com/jordan-veretout/profil/spieler/164771,jordan-veretout,24/25,Ligue 1,Olympique Lyon,25,22,1.86,2,-,-,6,9,3,-,-,-,663,1.325
14,https://www.transfermarkt.com/thiago-almada/profil/spieler/576028,thiago-almada,24/25,Ligue 1,Olympique Lyon,11,10,1.90,1,2,-,6,2,1,-,-,-,471,471
15,https://www.transfermarkt.com/malick-fofana/profil/spieler/743386,malick-fofana,24/25,Ligue 1,Olympique Lyon,24,24,1.83,4,4,-,12,9,1,-,-,-,301,1.203
16,https://www.transfermarkt.com/rayan-cherki/profil/spieler/607223,rayan-cherki,24/25,Ligue 1,Olympique Lyon,24,24,1.83,7,9,-,7,10,3,-,-,-,226,1.582
17,https://www.transfermarkt.com/ernest-nuamah/profil/spieler/955070,ernest-nuamah,24/25,Ligue 1,Olympique Lyon,24,23,1.70,3,1,-,10,10,2,-,-,-,351,1.054
18,https://www.transfermarkt.com/georges-mikautadze/profil/spieler/729814,georges-mikautadze,24/25,Ligue 1,Olympique Lyon,28,28,1.71,8,4,-,18,5,1,-,-,2,141,1.125
19,https://www.transfermarkt.com/alexandre-lacazette/profil/spieler/93720,alexandre-lacazette,24/25,Ligue 1,Olympique Lyon,25,25,1.76,11,2,-,6,14,4,-,-,4,149,1.636
20,https://www.transfermarkt.com/enzo-molebe/profil/spieler/1106860,enzo-molebe,24/25,Ligue 1,Olympique Lyon,9,-,-,-,-,-,-,-,-,-,-,-,,
